payoff,cohort,model,seed,scope,axis,n_rows,n_families,price_mae,price_rmse,price_r2,delta_mae,delta_rmse,delta_bias,within_1,within_5,within_10,resolved_n,resolved_sign
detailed,monthly_test,affine_coupon_delta,101,schedule,ALL,1408,128,170.27550215720396,225.15000438834016,0.7187534349450073,155.49882660688039,205.92620971718014,-72.51292402197585,0.005681818181818182,0.02556818181818182,0.04403409090909091,1351.0,0.5810510732790526
detailed,monthly_test,affine_coupon_delta,101,schedule,nobs_early,128,128,137.17889558479146,157.95950430905623,0.7754538174453922,162.385991624226,201.36228005842884,140.35109067002998,0.0,0.03125,0.0390625,127.0,0.5039370078740157
detailed,monthly_test,affine_coupon_delta,101,schedule,nobs_late,128,128,347.2845179046142,371.86515826689765,0.24755172593850672,326.4657328072001,345.3451986367186,-326.4657328072001,0.0,0.0,0.0,123.0,0.5609756097560976
detailed,monthly_test,affine_coupon_delta,101,schedule,nobs_middle,128,128,363.01929064590496,397.2350828380269,0.1383422021047226,341.9652947964116,362.2875000904713,-341.9652947964116,0.0,0.0,0.0,121.0,0.7107438016528925
detailed,monthly_test,affine_coupon_delta,101,schedule,tenor_months,1024,128,128.1934774492416,171.96916775435494,0.8425764205110915,109.95875918098085,148.07064849243318,-33.69527841351907,0.0078125,0.03125,0.0556640625,980.0,0.5775510204081633
detailed,monthly_test,affine_coupon_delta,101,terms,ALL,4548,128,62.66495958712759,80.31591502124805,0.966961515569954,9.671227313530137,16.22966631865583,0.004719365397518522,0.11515837104072398,0.4970588235294118,0.7002262443438914,4223.0,0.9727681742836846
detailed,monthly_test,affine_coupon_delta,101,terms,base,128,128,62.90810545272263,79.91932237550061,0.9659647193241839,,,,,,,,
detailed,monthly_test,affine_coupon_delta,101,terms,coupon_regular,1024,128,63.27463450033587,80.71145840348143,0.9658739718647257,7.418411688256387,11.27998747880759,-2.153683453917643e-05,0.146484375,0.52734375,0.7265625,1024.0,1.0
detailed,monthly_test,affine_coupon_delta,101,terms,first_strike,1024,128,62.2989561929041,78.76122741631643,0.9666555300437769,10.160346682979771,16.289317149625123,0.8296240177176315,0.0673828125,0.4794921875,0.6953125,962.0,0.9272349272349273
detailed,monthly_test,affine_coupon_delta,101,terms,ki_barrier,344,43,54.54110122015659,78.17801393036538,0.9765214909555489,23.22773687019833,34.6425967174026,-2.6922003133705363,0.046511627906976744,0.22674418604651161,0.4186046511627907,344.0,1.0
detailed,monthly_test,affine_coupon_delta,101,terms,last_strike,1024,128,64.41090127553804,82.00141420070923,0.9641184065719135,11.486409921371532,16.508860158800747,-0.6025440825883549,0.06640625,0.4228515625,0.626953125,909.0,1.0
detailed,monthly_test,affine_coupon_delta,101,terms,monthly_barrier,1004,128,63.38818735910883,80.51763866972074,0.9661200543534791,4.973855488869224,8.368629809565103,0.7116222141461009,0.2051792828685259,0.6523904382470119,0.849601593625498,984.0,0.9542682926829268
detailed,monthly_test,affine_coupon_delta,233,schedule,ALL,1408,128,207.7138656863898,273.3349588950329,0.5854912826611482,198.63650548601436,255.5898712355656,-56.77483614637663,0.008522727272727272,0.026278409090909092,0.048295454545454544,1351.0,0.5714285714285714
detailed,monthly_test,affine_coupon_delta,233,schedule,nobs_early,128,128,124.05989577112456,147.7260418592636,0.803605973183978,139.752347396096,181.50752786331665,97.07053294072614,0.0078125,0.046875,0.09375,127.0,0.5433070866141733
detailed,monthly_test,affine_coupon_delta,233,schedule,nobs_late,128,128,400.22767128275495,425.57149433628393,0.014513379361818513,379.2233964595009,397.7428703268263,-379.2233964595009,0.0078125,0.0078125,0.0078125,123.0,0.5691056910569106
